1, "Added Class", "New Functionality","[1, 10, 40]"
2, "Added Class", "Extracted Class", "[1, 6, 11, 22, 26, 44]"
3, "Added Class", "Merged Class", "[1, 7, 15, 23, 29, 46]"
4, "Added Class", "Promoted Method", "[1, 6, 14, 21, 22, 26, 35]"
5, "Added Class", "Extracted Subclasses", "[1, 6, 14, 22, 26, 35, 48]"
6, "Added Class", "Extracted Superclasses", "[1, 6, 14, 22, 26, 35, 49]"
7, "Deleted Class", "Obsoluted Functionality", "[2, 41, 42]"
8, "Deteted Class", "Divided Class", "[2, 8, 17, 25, 31, 36]"
9, "Deleted Class", "Merged Classes", "[2, 9, 19, 24, 33, 38]"
10, "Added Method", "New Functionality", "[3, 10, 40]"
11, "Added Method", "Extracted Method", "[3, 6, 12, 28, 45]"
12, "Added Method", "Merged Methods", "[3, 7, 16, 30, 47]"
13, "Added Method", "Divided Method", "[3, 6, 13, 27, 45]"
14, "Deleted Method", "Obsolete Functionality", "[4, 41, 43]"
15, "Deleted Method", "Divided Methods", "[4, 8, 18, 32, 37]"
16, "Deleted Method", "Merged Methods", "[4, 9, 20, 34, 39]"
17, "Modified Method", "New Functionality", "[5, 10, 40]"
18, "Modified Method", "Obsolete Functionality", "[5, 41, 42]"
